colony,date,distance,from,from_ID,from_ID_date,from_nest_size,from_x,from_y,network_ID,strength,to,to_ID,to_ID_date,to_nest_size,to_x,to_y,trail_ID,trail_type,tree_type,year,treatment,dataset
2b,27/06/2019,2.999999998,N17,2b_N17,2b_N17_2019-06-27,60.83825919,12.3893141,-2.785758202,2b_2019-06-27,0.02,T5,2b_T5,2b_T5_2019-06-27,1,10.84419833,-0.214257231,2b_2019-06-27_N17_T5,foraging,regular,2019,exclusion,Empirical exclusion
2b,10/08/2020,15.3154022,N7,2b_N7,2b_N7_2020-08-10,13.78116123,-2.688276279,-7.385984745,2b_2020-08-10,1.01,T5,2b_T5,2b_T5_2020-08-10,1,10.84419833,-0.214257231,2b_2020-08-10_N7_T5,foraging,regular,2020,exclusion,Empirical exclusion
2b,10/08/2020,2.999999998,N17,2b_N17,2b_N17_2020-08-10,42.98129654,12.3893141,-2.785758202,2b_2020-08-10,0.03,T5,2b_T5,2b_T5_2020-08-10,1,10.84419833,-0.214257231,2b_2020-08-10_N17_T5,foraging,regular,2020,exclusion,Empirical exclusion
2b,12/06/2018,20.84932086,N19,2b_N19,2b_N19_2018-06-12,18.63131243,-12.90289806,-17.25013711,2b_2018-06-12,0.1,T6,2b_T6,2b_T6_2018-06-12,1,-12.18006315,-38.08692405,2b_2018-06-12_N19_T6,foraging,regular,2018,exclusion,Empirical exclusion
2b,12/06/2018,20.89533381,N21,2b_N21,2b_N21_2018-06-12,4.80725929,-15.1972953,-17.41057802,2b_2018-06-12,0.1,T6,2b_T6,2b_T6_2018-06-12,1,-12.18006315,-38.08692405,2b_2018-06-12_N21_T6,foraging,regular,2018,exclusion,Empirical exclusion
2b,27/06/2019,31.99676372,N17,2b_N17,2b_N17_2019-06-27,60.83825919,12.3893141,-2.785758202,2b_2019-06-27,0.1,T7,2b_T7,2b_T7_2019-06-27,1,-6.23523,-28.80343,2b_2019-06-27_N17_T7,foraging,regular,2019,exclusion,Empirical exclusion
2b,10/08/2020,11.81842689,N21,2b_N21,2b_N21_2020-08-10,28.21302591,-15.1972953,-17.41057802,2b_2020-08-10,1.05,T8,2b_T8,2b_T8_2020-08-10,1,-13.39,-29.09,2b_2020-08-10_N21_T8,foraging,regular,2020,exclusion,Empirical exclusion
2b,10/08/2020,11.74107868,N22,2b_N22,2b_N22_2020-08-10,6.222801915,-17.5334,-18.10432,2b_2020-08-10,0.011,T8,2b_T8,2b_T8_2020-08-10,1,-13.39,-29.09,2b_2020-08-10_N22_T8,foraging,regular,2020,exclusion,Empirical exclusion
2a,26/07/2012,8.089999997,N3,2a_N3,2a_N3_2012-07-26,4.038,-0.137022634,4.46113915,2a_2012-07-26,1,T1,2a_T1,2a_T1_2012-07-26,1,4.386848901,11.16805247,2a_2012-07-26_N3_T1,foraging,regular,2012,control,Estimation
2a,25/08/2015,11.99874324,N2,2a_N2,2a_N2_2015-08-25,47.207,0,0,2a_2015-08-25,0.063,T1,2a_T1,2a_T1_2015-08-25,1,4.386848901,11.16805247,2a_2015-08-25_N2_T1,foraging,regular,2015,control,Estimation
2a,25/08/2015,8.089999997,N3,2a_N3,2a_N3_2015-08-25,5.366,-0.137022634,4.46113915,2a_2015-08-25,0.083,T1,2a_T1,2a_T1_2015-08-25,1,4.386848901,11.16805247,2a_2015-08-25_N3_T1,foraging,regular,2015,control,Estimation
2a,22/08/2016,8.089999997,N3,2a_N3,2a_N3_2016-08-22,8.452,-0.137022634,4.46113915,2a_2016-08-22,0.333,T1,2a_T1,2a_T1_2016-08-22,1,4.386848901,11.16805247,2a_2016-08-22_N3_T1,foraging,regular,2016,control,Estimation
2a,28/08/2013,8.089999997,N3,2a_N3,2a_N3_2013-08-28,13.271,-0.137022634,4.46113915,2a_2013-08-28,0.067,T1,2a_T1,2a_T1_2013-08-28,1,4.386848901,11.16805247,2a_2013-08-28_N3_T1,foraging,regular,2013,control,Estimation
2a,25/08/2014,11.99874324,N2,2a_N2,2a_N2_2014-08-25,47.275,0,0,2a_2014-08-25,0.067,T1,2a_T1,2a_T1_2014-08-25,1,4.386848901,11.16805247,2a_2014-08-25_N2_T1,foraging,regular,2014,control,Estimation
2a,25/08/2014,8.089999997,N3,2a_N3,2a_N3_2014-08-25,2.284,-0.137022634,4.46113915,2a_2014-08-25,0.25,T1,2a_T1,2a_T1_2014-08-25,1,4.386848901,11.16805247,2a_2014-08-25_N3_T1,foraging,regular,2014,control,Estimation
2a,22/08/2017,8.089999997,N3,2a_N3,2a_N3_2017-08-22,9.662,-0.137022634,4.46113915,2a_2017-08-22,0.2,T1,2a_T1,2a_T1_2017-08-22,1,4.386848901,11.16805247,2a_2017-08-22_N3_T1,foraging,regular,2017,control,Empirical control
2a,12/06/2018,8.089999997,N3,2a_N3,2a_N3_2018-06-12,5.32014583,-0.137022634,4.46113915,2a_2018-06-12,0.1,T1,2a_T1,2a_T1_2018-06-12,1,4.386848901,11.16805247,2a_2018-06-12_N3_T1,foraging,regular,2018,control,Empirical control
2a,27/06/2019,8.089999997,N3,2a_N3,2a_N3_2019-06-27,11.21208635,-0.137022634,4.46113915,2a_2019-06-27,0.1,T1,2a_T1,2a_T1_2019-06-27,1,4.386848901,11.16805247,2a_2019-06-27_N3_T1,foraging,regular,2019,control,Empirical control
2a,27/06/2019,9.440256534,N8,2a_N8,2a_N8_2019-06-27,3.766065757,-2.511675742,4.72376809,2a_2019-06-27,0.1,T1,2a_T1,2a_T1_2019-06-27,1,4.386848901,11.16805247,2a_2019-06-27_N8_T1,foraging,regular,2019,control,Empirical control
2a,10/08/2020,7.432737034,N4,2a_N4,2a_N4_2020-08-10,90.52077662,2.324996956,4.027019885,2a_2020-08-10,0.033,T1,2a_T1,2a_T1_2020-08-10,1,4.386848901,11.16805247,2a_2020-08-10_N4_T1,foraging,regular,2020,control,Empirical control
2a,26/07/2012,5.8,N4,2a_N4,2a_N4_2012-07-26,21.422,2.324996956,4.027019885,2a_2012-07-26,0.333,T2,2a_T2,2a_T2_2012-07-26,1,6.702312914,7.832161801,2a_2012-07-26_N4_T2,foraging,focal,2012,control,Estimation
2a,25/08/2015,5.8,N4,2a_N4,2a_N4_2015-08-25,2.204,2.324996956,4.027019885,2a_2015-08-25,0.2,T2,2a_T2,2a_T2_2015-08-25,1,6.702312914,7.832161801,2a_2015-08-25_N4_T2,foraging,focal,2015,control,Estimation
2a,22/08/2016,10.30843135,N2,2a_N2,2a_N2_2016-08-22,54.561,0,0,2a_2016-08-22,1,T2,2a_T2,2a_T2_2016-08-22,1,6.702312914,7.832161801,2a_2016-08-22_N2_T2,foraging,focal,2016,control,Estimation
2a,22/08/2016,7.624978981,N3,2a_N3,2a_N3_2016-08-22,8.452,-0.137022634,4.46113915,2a_2016-08-22,0.033,T2,2a_T2,2a_T2_2016-08-22,1,6.702312914,7.832161801,2a_2016-08-22_N3_T2,foraging,focal,2016,control,Estimation
2a,22/08/2016,5.8,N4,2a_N4,2a_N4_2016-08-22,13.631,2.324996956,4.027019885,2a_2016-08-22,0.5,T2,2a_T2,2a_T2_2016-08-22,1,6.702312914,7.832161801,2a_2016-08-22_N4_T2,foraging,focal,2016,control,Estimation
2a,28/08/2013,7.624978981,N3,2a_N3,2a_N3_2013-08-28,13.271,-0.137022634,4.46113915,2a_2013-08-28,0.033,T2,2a_T2,2a_T2_2013-08-28,1,6.702312914,7.832161801,2a_2013-08-28_N3_T2,foraging,focal,2013,control,Estimation
