network_ID,colony,date,node_ID,ID,x,y,species,nest.size,year,tree_type,treatment,dataset
10_2020-08-13,10,13/08/2020,10_T7,T7,17.69453584,-21.58144499,tree,0,2020,regular,exclusion,Empirical exclusion
10_2020-08-13,10,13/08/2020,10_T8,T8,13.73797786,-12.32148889,tree,0,2020,focal,exclusion,Empirical exclusion
10_2021-07-29,10,29/07/2021,10_N11,N11,6.83379828,-10.24273476,nest,34.73158726,2021,regular,exclusion,Empirical exclusion
10_2021-07-29,10,29/07/2021,10_N14,N14,11.08970906,-12.97013617,nest,47.80987205,2021,regular,exclusion,Empirical exclusion
10_2021-07-29,10,29/07/2021,10_N21,N21,7.027442128,-6.547805524,nest,10.44312092,2021,regular,exclusion,Empirical exclusion
10_2021-07-29,10,29/07/2021,10_N39,N39,-15,-22,nest,19.95466556,2021,regular,exclusion,Empirical exclusion
10_2021-07-29,10,29/07/2021,10_N40,N40,-17,-17.5,nest,53.26134103,2021,regular,exclusion,Empirical exclusion
10_2021-07-29,10,29/07/2021,10_N41,N41,-17.5,-16.7,nest,19.04450289,2021,regular,exclusion,Empirical exclusion
10_2021-07-29,10,29/07/2021,10_N42,N42,-17.8,-16,nest,1.440784492,2021,regular,exclusion,Empirical exclusion
10_2021-07-29,10,29/07/2021,10_T3,T3,-16.07098003,-13.94945476,tree,0,2021,regular,exclusion,Empirical exclusion
10_2021-07-29,10,29/07/2021,10_T5,T5,-0.664830998,-19.03839541,tree,0,2021,regular,exclusion,Empirical exclusion
10_2021-07-29,10,29/07/2021,10_T8,T8,13.73797786,-12.32148889,tree,0,2021,focal,exclusion,Empirical exclusion
10_2021-07-29,10,29/07/2021,10_T9,T9,-14,-25,tree,0,2021,regular,exclusion,Empirical exclusion
12_2012-07-26,12,26/07/2012,12_N1,N1,13.09027753,3.436379552,nest,82.098,2012,regular,exclusion,Estimation
12_2012-07-26,12,26/07/2012,12_N2,N2,2.022497805,1.956780969,nest,87.361,2012,regular,exclusion,Estimation
12_2012-07-26,12,26/07/2012,12_N3,N3,1.792672664,1.034999864,nest,110.959,2012,regular,exclusion,Estimation
12_2012-07-26,12,26/07/2012,12_N4,N4,0,0,nest,145.158,2012,regular,exclusion,Estimation
12_2012-07-26,12,26/07/2012,12_N5,N5,-0.475737539,-6.803386935,nest,184.308,2012,regular,exclusion,Estimation
12_2012-07-26,12,26/07/2012,12_N6,N6,-6.406867444,1.361818475,nest,83.326,2012,regular,exclusion,Estimation
12_2012-07-26,12,26/07/2012,12_T1,T1,14.05750126,6.413186272,tree,0,2012,regular,exclusion,Estimation
12_2012-07-26,12,26/07/2012,12_T2,T2,6.719719177,8.920695916,tree,0,2012,regular,exclusion,Estimation
12_2012-07-26,12,26/07/2012,12_T3,T3,0.669809191,0.52331219,tree,0,2012,focal,exclusion,Estimation
12_2012-07-26,12,26/07/2012,12_T4,T4,-6.080843308,-13.48329632,tree,0,2012,regular,exclusion,Estimation
12_2012-07-26,12,26/07/2012,12_T5,T5,-2.082613327,-8.860095521,tree,0,2012,regular,exclusion,Estimation
12_2012-07-26,12,26/07/2012,12_T6,T6,-6.14190775,1.785842484,tree,0,2012,regular,exclusion,Estimation
12_2012-07-26,12,26/07/2012,12_T7,T7,-14.02006115,3.544862573,tree,0,2012,regular,exclusion,Estimation
12_2013-08-28,12,28/08/2013,12_N3,N3,1.792672664,1.034999864,nest,292.205,2013,regular,exclusion,Estimation
