"dataset","colony","date","num_nests","num_trees","num_foraging","num_internest","trees_to_nests_rat","internest_to_nests_rat","foraging_to_nests_rat","num_components_nests","edge_density","edge_density_nests","network_efficiency","network_efficiency_nests","network_robustness","network_robustness_nests","network_cost","network_cost_nests","resource_capital","resource_variance"
"Estimation","3",2015-08-25,11,9,13,12,0.818181818181818,1.09090909090909,1.18181818181818,1,0.0657894736842105,0.109090909090909,0.115373141751166,0.180998853748399,0.929643892072896,0.875960061443932,195.127321374819,112.666220001942,0.0217196902620946,0.00217270148695371
"Estimation","3",2016-08-22,11,11,19,16,1,1.45454545454545,1.72727272727273,1,0.0757575757575758,0.145454545454545,0.103394835628582,0.188551243591773,0.973628553633628,0.95313349646547,265.978817745717,127.36022881949,0.0120528794178556,0.000173262493917598
"Empirical control","3",2017-08-22,16,14,17,18,0.875,1.125,1.0625,1,0.0402298850574713,0.075,0.0649981256203389,0.0975629745394424,0.937231721873558,0.903967994520463,325.338203949487,169.535555698292,0.0101436207409007,0.000245099906670099
"Empirical control","3",2018-06-12,17,11,14,13,0.647058823529412,0.764705882352941,0.823529411764706,5,0.0357142857142857,0.0477941176470588,0.0502544798938712,0.0658727400657152,0.952322235922729,0.88472590627763,213.459400195353,139.761677891095,0.0106161651867754,0.000251707831451499
"Empirical control","3",2019-06-27,18,11,16,20,0.611111111111111,1.11111111111111,0.888888888888889,1,0.0443349753694581,0.065359477124183,0.051047451169867,0.0576742568070123,0.961916624957236,0.922657915330889,367.169894769961,185.516218391394,0.00495653864653107,4.1368467697332e-05
"Estimation","6",2012-07-26,14,9,13,15,0.642857142857143,1.07142857142857,0.928571428571429,1,0.0553359683794466,0.0824175824175824,0.121137228352796,0.173988751333499,0.944169482391125,0.877933494228824,133.997309197674,44.8601426640361,0.046248699698606,0.0121049328536409
"Estimation","6",2013-08-28,12,7,12,13,0.583333333333333,1.08333333333333,1,1,0.0730994152046784,0.0984848484848485,0.124577638701061,0.167539421510608,0.942599784960393,0.864468422912591,116.596937644638,46.5186073805903,0.00556758733643663,0.000115825424096267
"Estimation","6",2014-08-25,11,7,13,12,0.636363636363636,1.09090909090909,1.18181818181818,1,0.0816993464052288,0.109090909090909,0.172223420430765,0.293798625095396,0.952482259825328,0.888546672491627,113.654931609892,36.5113273079588,0.0339273297318709,0.0029786876849944
"Estimation","6",2015-08-25,20,7,13,24,0.35,1.2,0.65,1,0.0527065527065527,0.0631578947368421,0.178391402092151,0.221853996171568,0.956202776227826,0.924572113879719,103.343374859338,59.8984827667289,0.043552028565532,0.0260877981085189
"Estimation","6",2016-08-22,20,7,15,24,0.35,1.2,0.75,1,0.0555555555555556,0.0631578947368421,0.130665108074251,0.127956001155453,0.973403570006325,0.938179472635591,151.391091937259,91.7455872980603,0.00472213876612896,3.0928597579774e-05
"Empirical control","6",2017-08-22,28,6,15,25,0.214285714285714,0.892857142857143,0.535714285714286,5,0.035650623885918,0.0330687830687831,0.141700860719842,0.110919339861349,0.964438485038325,0.926641071908473,115.318880285492,59.8287783217664,0.0127722050103681,0.00111833865512227
"Empirical control","6",2018-06-12,20,6,12,13,0.3,0.65,0.6,7,0.0384615384615385,0.0342105263157895,0.111410832823769,0.0771831946865148,0.949976346339983,0.863224301542703,75.7244515036692,28.6007552095147,0.0175536005860887,0.00374659087181331
"Empirical control","6",2019-06-27,19,7,13,14,0.368421052631579,0.736842105263158,0.684210526315789,6,0.0415384615384615,0.0409356725146199,0.142895165178305,0.136937891869758,0.946757743528121,0.904549567785107,73.8271577908875,31.4036002873302,0.00459158271782491,4.5158891500218e-05
"Empirical control","6",2020-08-10,12,7,15,11,0.583333333333333,0.916666666666667,1.25,3,0.0760233918128655,0.0833333333333333,0.157119692081405,0.188917490220975,0.964398632965989,0.903352920843415,123.219386348651,49.8048475657312,0.00318726679495656,4.70609866306441e-05
"Estimation","7",2012-07-26,7,6,8,6,0.857142857142857,0.857142857142857,1.14285714285714,1,0.0897435897435897,0.142857142857143,0.102176147668696,0.230087314533208,0.907031506699281,0.708333333333333,130.740189447528,29.951548906157,0.00959760339702074,0.000104970806380407
"Estimation","7",2013-08-28,4,5,5,1,1.25,0.25,1.25,3,0.0833333333333333,0.0833333333333333,0.0375221636220943,0.0974658869611596,0.769230769230769,0,69.1419488877702,1.70999999962124,0.0220110745685501,0.000702901975485005
"Estimation","7",2014-08-25,8,5,9,7,0.625,0.875,1.125,2,0.102564102564103,0.125,0.121426869766739,0.228848199568332,0.942580213903743,0.800761904761905,105.122164132009,25.8549747010644,0.0272792985019957,0.000612279917881208
